canon,Mt,Mk,Lk,Jn
1,8,2,7,10
1,11,4,10,6
1,11,4,10,12
1,11,4,10,14
1,11,4,10,28
1,14,5,13,15
1,23,27,17,46
1,23,27,34,46
1,23,27,45,46
1,70,20,37,38
1,87,139,250,141
1,87,139,250,146
1,98,96,116,40
1,98,96,116,111
1,98,96,116,120
1,98,96,116,129
1,98,96,116,131
1,98,96,116,144
1,133,37,77,109
1,141,50,19,59
1,142,51,21,35
1,147,64,93,49
1,166,82,94,17
1,166,82,94,74
1,209,119,234,100
1,211,121,238,21
1,220,122,239,77
1,220,129,242,85
1,220,129,261,88
1,244,139,250,141
1,244,139,250,146
1,274,156,260,20
1,274,156,260,48
1,274,156,260,96
1,276,158,74,98
1,280,162,269,122
1,284,165,266,55
1,284,165,266,63
1,284,165,266,65
1,284,165,266,67
1,289,170,275,126
1,291,172,279,156
1,294,175,281,161
1,295,176,282,42
1,295,176,282,57
1,300,181,285,79
1,300,181,285,158
1,302,183,287,160
1,304,184,289,170
1,306,187,290,162
1,306,187,290,174
1,310,191,297,69
1,313,194,294,172
1,314,195,291,166
1,314,195,291,168
1,315,196,292,175
1,318,199,300,176
1,320,200,302,178
1,320,200,302,180
1,325,204,310,184
1,326,205,311,188
1,326,205,313,194
1,328,206,314,196
1,331,209,315,197
1,332,210,318,197
1,334,212,321,201
1,335,214,324,199
1,336,215,317,198
1,336,215,319,198
1,343,223,329,204
1,348,227,332,206
1,349,228,333,208
1,352,231,336,209
1,352,231,336,211
2,15,6,15,0
2,21,10,32,0
2,31,102,185,0
2,32,39,79,0
2,32,39,133,0
2,50,41,56,0
2,62,13,4,0
2,62,13,24,0
2,63,18,33,0
2,67,15,26,0
2,69,47,83,0
2,71,21,38,0
2,72,22,39,0
2,72,22,186,0
2,73,23,40,0
2,74,49,85,0
2,76,52,169,0
2,79,29,86,0
2,80,30,44,0
2,82,53,87,0
2,82,53,110,0
2,83,54,87,0
2,83,54,112,0
2,85,55,88,0
2,85,55,114,0
2,88,141,148,0
2,88,141,251,0
2,92,40,80,0
2,94,86,97,0
2,94,86,146,0
2,103,1,70,0
2,114,24,41,0
2,116,25,42,0
2,116,25,165,0
2,116,25,177,0
2,121,32,127,0
2,122,33,129,0
2,123,34,147,0
2,130,35,82,0
2,131,36,76,0
2,135,38,78,0
2,137,44,167,0
2,143,57,90,0
2,144,59,12,0
2,149,66,35,0
2,149,66,43,0
2,153,69,36,0
2,164,79,144,0
2,168,83,95,0
2,168,83,206,0
2,170,85,96,0
2,172,87,98,0
2,174,91,99,0
